משרד,שנה,סיווג ראשי,סיווג משני,תקציב מקורי,תקציב מעודכן,ביצוע/אומדן,מספר תקנות,מקור
sec-1,2024,הכנסות מיועדות,הכנסות תקציב רגיל,0,0,-1868128,1,https://next.obudget.org/i/budget/0001/2024
sec-1,2024,העברות פנים תקציביות,השתתפויות,2107000,5098000,2594498,2,https://next.obudget.org/i/budget/0001/2024
sec-1,2024,חשבונות מעבר,חשבונות מעבר,0,0,0,1,https://next.obudget.org/i/budget/0001/2024
sec-1,2024,קניות,קניות בארץ,24634000,35325000,31914983,2,https://next.obudget.org/i/budget/0001/2024
sec-1,2024,קניות,"קניות בחו""ל",5038000,7155000,6496673,1,https://next.obudget.org/i/budget/0001/2024
sec-1,2024,קניות,רזרבה,1326000,1326000,0,2,https://next.obudget.org/i/budget/0001/2024
sec-1,2024,שכר,רזרבה,1647000,0,0,1,https://next.obudget.org/i/budget/0001/2024
sec-1,2024,שכר,שכר בארץ,39458000,49593000,49477695,7,https://next.obudget.org/i/budget/0001/2024
sec-1,2025,הכנסות מיועדות,הכנסות תקציב רגיל,0,0,-1831035,1,https://next.obudget.org/i/budget/0001/2025
sec-1,2025,העברות פנים תקציביות,השתתפויות,3450000,3450000,2351517,2,https://next.obudget.org/i/budget/0001/2025
sec-1,2025,חשבונות מעבר,חשבונות מעבר,0,0,0,1,https://next.obudget.org/i/budget/0001/2025
sec-1,2025,קניות,קניות בארץ,23925000,37722000,36303469,2,https://next.obudget.org/i/budget/0001/2025
sec-1,2025,קניות,"קניות בחו""ל",5250000,10850000,9085158,1,https://next.obudget.org/i/budget/0001/2025
sec-1,2025,קניות,רזרבה,1242000,0,0,2,https://next.obudget.org/i/budget/0001/2025
sec-1,2025,שכר,רזרבה,1981000,0,0,1,https://next.obudget.org/i/budget/0001/2025
sec-1,2025,שכר,שכר בארץ,47250000,48034000,48624083,7,https://next.obudget.org/i/budget/0001/2025
sec-1,2026,הכנסות מיועדות,הכנסות תקציב רגיל,0,0,,1,https://next.obudget.org/i/budget/0001/2026
sec-1,2026,העברות פנים תקציביות,השתתפויות,0,0,,2,https://next.obudget.org/i/budget/0001/2026
sec-1,2026,חשבונות מעבר,חשבונות מעבר,0,0,,1,https://next.obudget.org/i/budget/0001/2026
sec-1,2026,קניות,קניות בארץ,30091000,30091000,,2,https://next.obudget.org/i/budget/0001/2026
sec-1,2026,קניות,"קניות בחו""ל",5338000,5338000,,1,https://next.obudget.org/i/budget/0001/2026
sec-1,2026,קניות,רזרבה,1477000,1477000,,1,https://next.obudget.org/i/budget/0001/2026
sec-1,2026,שכר,רזרבה,2091000,2091000,,1,https://next.obudget.org/i/budget/0001/2026
sec-1,2026,שכר,שכר בארץ,50177000,50177000,,7,https://next.obudget.org/i/budget/0001/2026
sec-10,2023,העברות פנים תקציביות,השתתפויות,2816000,4965000,4967091,3,https://next.obudget.org/i/budget/0010/2023
sec-10,2023,קניות,קניות בארץ,6828000,19261000,10440261,2,https://next.obudget.org/i/budget/0010/2023
sec-10,2023,קניות,רזרבה,641000,0,0,2,https://next.obudget.org/i/budget/0010/2023
sec-10,2023,שכר,רזרבה,1532000,0,0,1,https://next.obudget.org/i/budget/0010/2023
